Sr No.,Is_Transition,Is_Appraisal_Driven,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Set,expectation,dataset,Moment_Utterance_ID
0,0,0,It seems that you get antsy when you hear I praise another guy .,A,neutral,0,0,train,,DailyDialog,
1,0,0,"I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him .",B,disgust,0,1,train,,DailyDialog,
2,0,0,How come you think of him that way ?,A,neutral,0,2,train,,DailyDialog,
3,0,0,Because you seem to have lost your vigilance . You should be on the watch out .,B,disgust,0,3,train,,DailyDialog,
4,0,0,I have no reason to distrust him . He's never caused any harm .,A,neutral,0,4,train,,DailyDialog,
5,1,1,Isn't there anything that sounds fishy ?,B,anger,0,5,train,B hoped that A would express some doubts or suspicions about the guy after being warned to be vigilant.,DailyDialog,3.0
6,0,0,Nothing smells a rat . I told you that he's an all-right guy .,A,neutral,0,6,train,,DailyDialog,
7,1,1,All-right guy ? All right . Let's talk about something else instead .,B,surprise,0,7,train,B was expecting A to acknowledge or reveal something suspicious or concerning about the guy.,DailyDialog,5.0
8,0,0,What ’ s up ? You don ’ t look too good .,A,neutral,1,0,train,,DailyDialog,
9,0,0,"Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer !",B,anger,1,1,train,,DailyDialog,
10,1,1,"I liked physics . It ’ s all math , really , arcs , curves , velocity , cool stuff .",A,happiness,1,2,train,A expected B to share what was bothering them or causing them discomfort.,DailyDialog,0.0
11,1,1,"Yeah , yeah , but today ’ s lesson was all about the creation of the universe .",B,neutral,1,3,train,"B was expecting A to understand or empathize with their fatigue or struggle from a complex or overwhelming physics lesson, rather than focusing on the aspects of physics they enjoy.",DailyDialog,1.0
12,1,1,A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me .,A,surprise,1,4,train,"A expected the physics class to focus on mathematical and scientific topics like arcs, curves, and velocity, not on concepts like the creation of the universe, which A perceives as more religious than scientific.",DailyDialog,2.0
13,0,0,It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff .,B,neutral,1,5,train,,DailyDialog,
14,1,1,"Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says .",A,neutral,1,6,train,A expected B to discuss the scientific aspects of cosmology rather than dismiss it as religious or mythological.,DailyDialog,4.0
15,0,0,"Math , sheath . What ’ s the evidence ?",B,neutral,1,7,train,,DailyDialog,
16,0,0,"There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH !",A,neutral,1,8,train,,DailyDialog,
17,0,0,"Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ?",B,neutral,1,9,train,,DailyDialog,
18,0,0,"Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ?",A,neutral,1,10,train,,DailyDialog,
19,0,0,"Well , I am a regular member of this club .",A,neutral,2,0,train,,DailyDialog,
